text,label
Ваш заблокирован Разблокировка стоит,fraud
Ваш интернет будет отключен за нарушения Оплатите штраф,fraud
Ваш компьютер заражен вирусами Оплатите очистку,fraud
Прием у стоматолог отменен Перенесли на в Подтвердите пожалуйста,normal
Роуминг активирован Стоимость интернет звонки,normal
Билеты на концерт забронированы Место ряд,normal
Результаты анализов критичные Нужно срочное обследование за,fraud
Баланс карты Последняя операция,normal
Проблема по заявке решена Оцените качество работы специалиста С уважением поддержки,normal
Папа это я Саша Попал в аварию нужны деньги на ремонт,fraud
Бабушка это внук Помоги деньгами верну завтра,fraud
Посылка из за границы Таможенная пошлина,fraud
Кто то пытается войти в ваш онлайн Назовите код для блокировки входа,fraud
Ваш номер заблокируют за неактивность Активируйте кодом,fraud
Ваши деньги в опасности Переведите их на защищенный счет,fraud
Здравствуйте Ваш номер будет отключен через час продлите сим карту,fraud
Здравствуйте это Ваша SIM карта будет заблокирована через час Для продления назовите код,fraud
Заочное решение о взыскании Отмените оплатив госпошлину,fraud
Ваши активы будут арестованы Сохраните их переведя на спецсчет,fraud
Билеты на спектакль забронированы Место ряд Спасибо за обращение,normal
Ваш сын попал в больницу Нужны деньги на срочную операцию,fraud
Справка готова Получите в регистратуре предъявив паспорт,normal
Посылка из за границы Таможенная пошлина Времени мало,fraud
Ваши документы используются мошенниками Переведите деньги на безопасный счет Не откладывайте,fraud
ВНИМАНИЕ Ваш паспорт недействителен Восстановите через портал оплатив,fraud
Поздравляем Ваш номер выиграл в лотерее Получите приз по ссылке,fraud
Билет на поезд А забронирован Место,normal
в пути с заказом Ожидаемое время доставки,normal
На вашем счету подозрительная операция на Подтвердите что это вы,fraud
Тренировка в в отменяется Хорошего дня,normal
Ваш тариф будет изменен на дорогой Отмените изменения кодом,fraud
Акция завершена Ваш приз Переведите за оформление документов,fraud
аренда завершена Стоимость поездки,normal
Ваша карта заблокирована по подозрению в мошенничестве Разблокируйте назвав CVV код,fraud
Долг за воду Оплатите до иначе отключение,fraud
Срочно оплатите задолженность за иначе отключим газ,fraud
не может найти ваш адрес Подтвердите доставку доплатив,fraud
Розыгрыш завершен Ваш выигрыш составляет Подтвердите получение по номеру карты,fraud
Проблема по заявке решена Оцените качество работы специалиста,normal
Рейс SU задерживается на минут,normal
Напоминание задолженность Погасите для избежания блокировки,normal
Код авторизации для подтверждения платежа на сумму,normal
Ваши счета под следствием Переведите на защищенный счет для сохранности,fraud
Ваше обращение принято Ответим в течение часов,normal
подано Водитель Михаил авто белый время подачи мин,normal
Тариф изменен на Премиум Стоимость с,normal
Платеж на сумму успешно проведен в,normal
Занятие по английский в переносится на,normal
Техработы с до Возможны кратковременные перебои связи,normal
Совещание завтра в в конференц зале Подготовьте отчет по проекту,normal
Ваш паспорт недействителен Восстановите через портал оплатив,fraud
Квитанция за февраль готова Сумма к оплате,normal
Мама у меня проблемы срочно нужны деньги Переведи на номер карты,fraud
Результаты анализов готовы Заберите в регистратуре с до,normal
У вас обнаружено заболевание Необходимо срочное лечение за,fraud
Ваш код подтверждения Никому его не сообщайте,normal
Результаты анализов готовы Заберите в регистратуре с до Хорошего дня,normal
Заказ оформлен на сумму Доставка с до,normal
Ваш аккаунт взломан Восстановление за Времени мало,fraud
Ваша дочь задержана Для освобождения нужно,fraud
ВНИМАНИЕ Вы стали победителем акции Приз Оплатите налог для получения,fraud
Здравствуйте это Ваша SIM карта будет заблокирована через час Для продления назовите код Это срочно,fraud
Код подтверждения для входа в Онлайн Никому не сообщайте,normal
Ваш аккаунт взломан Восстановление за,fraud
Ваши счета под следствием Переведите деньги на защищенный счет,fraud
Перевод на карту выполнен успешно,normal
ВНИМАНИЕ Срочно оплатите задолженность за иначе отключим газ,fraud
Ваши документы используются мошенниками Переведите деньги на безопасный счет,fraud
Плановое обслуживание сети с до,normal
доставки Посылка задержана на таможне Доплата для освобождения,fraud
Квитанция за май готова Сумма к оплате Спасибо за обращение,normal
Звоню из ваш номер будет отключен завтра Для сохранения услуг продиктуйте код,fraud
Вы стали победителем акции Приз Оплатите налог для получения,fraud
Остаток по тарифу интернет ГБ минуты мин,normal
Заочное решение о взыскании Отмените оплатив госпошлину Не откладывайте,fraud
Командировка в Санкт с Билеты и гостиница забронированы,normal
Напоминание запись к врачу в кабинет,normal
подано Водитель Иван авто серый время подачи мин,normal
Здравствуйте Для продления сим карты нужны ваши данные паспорта,fraud
С вашей карты списали Если это не вы назовите код,fraud
Покупка в на сумму Доступный лимит С уважением поддержки,normal
Результаты экзамена опубликованы Проверьте в личном кабинете,normal
Мама у меня проблемы срочно нужны деньги Переведи на этот номер карты,fraud
Техобслуживание сети с до Возможны кратковременные перебои,normal
Лекция Квантовая физика состоится в аудитории Хорошего дня,normal
Срочно оплатите задолженность за иначе отключим газ Не откладывайте,fraud
Платеж на сумму успешно проведен в С уважением поддержки,normal
Тариф изменен на Бизнес Стоимость с,normal
Обновление системы завершено Новые функции доступны в личном кабинете,normal
Посылка прибыла в пункт выдачи Заберите до Код получения,normal
Подписка на интернет продлена до Следующее списание,normal
Встреча с клиентом перенесена на понедельник Подготовьте презентацию,normal
Саша документы готовы Заберите в офисе с до,normal
Срок сим карты истек для восстановления услуг продиктуйте пароль,fraud
Занятие по математика в переносится на,normal
Папа это я Никита Попал в аварию нужны деньги на ремонт,fraud
Услуга интернет подключена Абонентская плата,normal
ВНИМАНИЕ На вашем счету подозрительная операция на Подтвердите что это вы,fraud
ВНИМАНИЕ Ваш аккаунт взломан Восстановление за,fraud
Подтверждение операции Код Если это не вы обратитесь в,normal
Отпуск с согласован Приказ будет готов до конца недели,normal
Посылка не доставлена требуется доплата Оплатите по ссылке,fraud
Штраф за превышение скорости Оплатите со скидкой до,fraud
Зарплата за апрель поступила на карту Сумма,normal
Заказ готов к выдаче в пункте самовывоза Режим работы,normal
Заказ оформлен на сумму Доставка с до С уважением поддержки,normal
Покупка в на сумму Доступный лимит Хорошего дня,normal
Папа это я Максим Попал в аварию нужны деньги на ремонт,fraud
Домофон временно не работает Ремонт с до,normal
Ваша посылка задержана необходима доплата за хранение,fraud
SMS код для подтверждения Срок действия мин,normal
ВНИМАНИЕ Ваш компьютер заражен вирусами Оплатите очистку,fraud
Справка готова Получите в регистратуре предъявив паспорт Спасибо за обращение,normal
Справка готова Получите в регистратуре предъявив паспорт Хорошего дня,normal
Елена Для безопасности SIM карты сообщите код из СМС,fraud
Показания счетчиков приняты К доплате до,normal
Роуминг активирован Стоимость интернет звонки Спасибо за обращение,normal
Прием у кардиолог отменен Перенесли на в Подтвердите пожалуйста,normal
Обновление системы завершено Новые функции доступны в личном кабинете С уважением поддержки,normal
доставки Посылка задержана на таможне Доплата для освобождения Не откладывайте,fraud
Задолженность за электричество Оплатите срочно,fraud
Против вас возбуждено дело Избежите ареста оплатив залог Времени мало,fraud
Прием у невролог отменен Перенесли на в Подтвердите пожалуйста,normal
Здравствуйте я звоню из тех поддержки компании у вас истекает срок сим карты вы хотите продлить,fraud
Услуга мобильная связь подключена Абонентская плата,normal
ВНИМАНИЕ Ваши активы будут арестованы Сохраните их переведя на спецсчет,fraud
Зарплата за март поступила на карту Сумма,normal
Встреча с клиентом перенесена на в Место ул Молодежная,normal
Прием у окулист отменен Перенесли на в Подтвердите пожалуйста,normal
Командировка в с Билеты и гостиница забронированы,normal
Ваш счет будет заморожен через час Предотвратите блокировку сообщив код Не откладывайте,fraud
подано Водитель Михаил авто серый время подачи мин Хорошего дня,normal
Автоплатеж за будет списан,normal
У вас заказная посылка Доплатите для получения,fraud
Автоплатеж за интернет будет списан,normal
Код авторизации для подтверждения платежа на сумму Спасибо за обращение,normal
Квитанция за март готова Сумма к оплате С уважением поддержки,normal
Отпуск с согласован Приказ будет готов до конца недели С уважением поддержки,normal
Кто то пытается войти в ваш онлайн Назовите код для блокировки входа Не откладывайте,fraud
Против вас возбуждено дело Избежите ареста оплатив залог,fraud
Против вас возбуждено дело Избежите ареста оплатив залог Не откладывайте,fraud
Подписка на мобильная связь продлена до Следующее списание,normal
Ваш номер заблокируют за неактивность Активируйте кодом Времени мало,fraud
ВНИМАНИЕ Бабушка это внук Помоги деньгами верну завтра,fraud
Платеж по карте на сумму в магазине успешно проведен,normal
Ваш заказ доставлен по адресу ул Советская Спасибо за покупку,normal
Пополнение счета на Текущий баланс,normal
На вашем счету подозрительная операция на Подтвердите что это вы Не откладывайте,fraud
Встреча с клиентом перенесена на в Место пр Победы,normal
Код для входа в личный кабинет Действителен минут С уважением поддержки,normal
Код для входа в личный кабинет Действителен минут,normal
не может найти ваш адрес Подтвердите доставку доплатив Времени мало,fraud
Лекция История состоится в аудитории,normal
Задолженность Избежите штрафа при оплате до,fraud
Срок действия вашей SIM истекает сегодня Подтвердите продление кодом,fraud
Ваш код подтверждения Никому его не сообщайте Спасибо за обращение,normal
Одноразовый пароль Используйте для входа в систему,normal
Подписка на продлена до Следующее списание,normal
Ваше обращение принято Ответим в течение часов Спасибо за обращение,normal
Напоминание запись к врачу в кабинет Хорошего дня,normal
Снятие наличных в банкомате Комиссия Спасибо за обращение,normal
Ваш интернет будет отключен за нарушения Оплатите штраф Времени мало,fraud
Вы выиграли в лотерею от один миллион Для получения приза нужно оплатить налог,fraud
Зачет по физика назначен на в,normal
Ваш счет будет заморожен через час Предотвратите блокировку сообщив код,fraud
Занятие по история в переносится на,normal
Отключение горячей воды с по в связи с плановым ремонтом Хорошего дня,normal
Техработы с до Возможны кратковременные перебои связи Спасибо за обращение,normal
Снятие наличных в банкомате Комиссия,normal
Тренировка в в отменяется,normal
Папа это я Артем Попал в аварию нужны деньги на ремонт,fraud
Услуга подключена Абонентская плата,normal
Лотерея вы выиграли автомобиль стоимостью Оплатите оформление,fraud
Встреча с клиентом перенесена на в Место ул Советская,normal
Трек номер вашей посылки RF Статус в пути прибытие,normal
Ваши анализы показали серьезные проблемы Срочно запишитесь на платную консультацию за,fraud
Занятие по история в переносится на Хорошего дня,normal
Абонемент в продлен до Стоимость,normal
Задолженность за электричество Оплатите срочно Времени мало,fraud
Ваш интернет будет отключен за нарушения Избежать блокировки можно оплатив штраф,fraud
Покупка в на сумму Доступный лимит,normal
Спасибо за использование услуг Ваш тариф Безлимит активен до,normal
Лекция Основы программирования состоится в аудитории,normal
Квитанция за март готова Сумма к оплате,normal
Диспансеризация назначена на в Явка обязательна,normal
Зачет по математика назначен на в,normal
в пути с заказом Ожидаемое время доставки Спасибо за обращение,normal
Заказ A доставлен Спасибо за покупку,normal
Акция завершена Ваш приз Переведите за оформление документов Не откладывайте,fraud
ВНИМАНИЕ Ваша карта заблокирована по подозрению в мошенничестве Разблокируйте назвав CVV код,fraud
Билеты на выставка забронированы Место ряд С уважением поддержки,normal
Фильм Мстители начинается в Зал места,normal
Здравствуйте я звоню из У вас заблокирована карта по подозрению в мошенничестве,fraud
Папа это я Дима Попал в аварию нужны деньги на ремонт Времени мало,fraud
Фильм Человек паук начинается в Зал места,normal
Остаток по тарифу интернет ГБ минуты мин Спасибо за обращение,normal
подано Водитель Андрей авто черный время подачи мин,normal
Фильм Аватар начинается в Зал места,normal
Тариф изменен на Стандарт Стоимость с,normal
Новые возможности Подключите Видео за,normal
Зачет по английский назначен на в,normal
Встреча с клиентом перенесена на в Место пр Мира,normal
Роуминг активирован Тарифы звонки интернет,normal
Здравствуйте это У вас истекает срок действия SIM карты хотите продлить,fraud
Твойе обращение принято Ответим в течение часов,normal
Ваш заказ доставлен по адресу ул Ленина Спасибо за покупку Спасибо за обращение,normal
Занятие по физика в переносится на,normal
Техработы на линии завтра с до Возможны перебои,normal
Егор документы готовы Заберите в офисе с до,normal
ВНИМАНИЕ Заочное решение о взыскании Отмените оплатив госпошлину,fraud
Квитанция за май готова Сумма к оплате,normal
Чтобы не потерять номер подтвердите сим карту кодом из СМС,fraud
Билеты на спектакль забронированы Место ряд,normal
Ваш заказ доставлен по адресу ул Ленина Спасибо за покупку,normal
Результаты экзамена опубликованы Проверьте в личном кабинете С уважением поддержки,normal
Кто то пытается войти в ваш онлайн Назовите код для блокировки входа Времени мало,fraud
Ваши анализы показали серьезные проблемы Срочно запишитесь на платную консультацию за Не откладывайте,fraud
ВНИМАНИЕ Задолженность Избежите штрафа при оплате до,fraud
Напоминание о записи к стоматологу завтра в в на Ленина,normal
Командировка в Санкт с Билеты и гостиница забронированы Спасибо за обращение,normal
Здравствуйте Ваша сим карта будет аннулирована если не продлите до завтра,fraud
Автоплатеж за будет списан Спасибо за обращение,normal
Результаты экзамена опубликованы Проверьте в личном кабинете Хорошего дня,normal
Папа это я Егор Попал в аварию нужны деньги на ремонт,fraud
Билет на поезд А забронирован Место Хорошего дня,normal
Отключение горячей воды с по в связи с плановым ремонтом,normal
Автоплатеж за интернет будет списан с карты завтра,normal
Штраф за превышение скорости Оплатите со скидкой до Это срочно,fraud
ВНИМАНИЕ Ваш счет будет заморожен через час Предотвратите блокировку сообщив код,fraud
Ваша карта заблокирована по подозрению в мошенничестве Разблокируйте назвав CVV код Времени мало,fraud
Это Номер будет передан другому абоненту если не подтвердите SIM карту,fraud
Подписка на цифровое ТВ продлена до Следующее списание С уважением поддержки,normal
Лотерея вы выиграли автомобиль стоимостью Оплатите оформление Времени мало,fraud
Против вас возбуждено дело Избежите ареста оплатив залог Это срочно,fraud
Андрей документы готовы Заберите в офисе с до,normal
Добрый день звоню из технической поддержки Ваша сим карта будет заблокирована продлите срок,fraud
Последнее предупреждение о блокировке сим карты продлите сейчас,fraud
Здравствуйте Для продления SIM карты доплатите,fraud
Это На вашу SIM карту поступила подозрительная активность,fraud
Автоплатеж за мобильная связь будет списан,normal
Ваша сим карта заблокирована разблокировка стоит,fraud
Данил документы готовы Заберите в офисе с до,normal
Здравствуйте это Ваша SIM карта будет заблокирована через час Для продления назовите код Времени мало,fraud
Ваш сын попал в аварию Нужны деньги на лечение Переведите срочно,fraud
У вас заказная посылка Доплатите для получения Это срочно,fraud
Ваш заказ доставлен по адресу ул Гагарина Спасибо за покупку С уважением поддержки,normal
Квитанция за апрель готова Сумма к оплате,normal
