text,label,scenario_type,channel,speaker_role_pattern,fraud_stage,has_code_request,has_money_transfer_request,has_urgency,has_threat,has_authority_impersonation,has_sensitive_data_request,has_remote_access_request,victim_confused_or_resisting,risk_markers_count
Напоминание прием у кардиолога 15 июня в 09:00 Не опаздывайте,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
"Добрый день, это врач, напоминаю что прием завтра в 10 утра",normal,medical_or_service,call,single_message,benign,0,0,0,0,0,0,0,0,0
Напоминание занятие по английскому 15 июня в 09:00 перенесено,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
"Добрый день, это такси, водитель будет у подъезда через 3 минуты",normal,benign_service,call,single_message,benign,0,0,0,0,0,0,0,0,0
Мама я в аварии всё хорошо но нужно 50000 на возмещение ущерба,fraud,relative_in_trouble,sms,single_message,transfer_request,0,1,1,0,0,0,0,0,2
подано Водитель Михаил авто белый время подачи мин,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Напоминание запись к врачу в кабинет Хорошего дня,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Доставка Glovo Заказ готовится Курьер прибудет через 10 мин,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
"Оператор - Добрый день
Клиент - Да
Оператор - Вы оставляли заявку на перевыпуск карты
Клиент - Да
Оператор - Готовую карту можно забрать в отделении с удостоверением личности",normal,benign_service,call,dialogue,benign,0,0,0,0,1,0,0,0,1
Подозрительная активность Для защиты счета срочно позвоните по 8800,fraud,generic_fraud,sms,single_message,pressure,0,0,1,1,0,0,0,0,2
Лекция по маркетингу 25 мая в 10:00 зал 5 корпус 2,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Это Сережа Попал в серьезную ситуацию помоги 1000 верну все завтра,fraud,relative_in_trouble,sms,single_message,hook,0,1,1,1,0,0,0,0,3
Справка готова Получите в регистратуре предъявив паспорт Спасибо за обращение,normal,medical_or_service,sms,single_message,benign,0,0,0,0,0,1,0,0,1
Оплата налога на имущество 3000 тенге принята Квитанция отправлена,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Онлайн-запись к нотариусу подтверждена 10 июня в 11:30,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Казпочта Ваше письмо ожидает в отделении 4 до 1 июля,normal,delivery_fee,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Налоговая задолженность 5000 тенге Оплатите срочно во избежание штрафа,fraud,generic_fraud,sms,single_message,unknown,1,0,0,1,1,0,0,0,3
Напоминаем о задолженности 10000 тенге Погасите для избежания блокировки,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Роуминг активирован Стоимость интернет звонки Спасибо за обращение,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Касса возврата НДС Вы получите 150000 тенге Введите данные для зачисления,fraud,generic_fraud,sms,single_message,hook,0,1,1,1,0,0,0,0,3
Посылка CH123456 задержана из-за праздников Выдача с 5 июля,normal,delivery_fee,sms,single_message,benign,0,0,0,0,0,0,0,0,0
"Звонящий - Здравствуйте это прокуратура
Ответчик - Да
Звонящий - На ваше имя зарегистрировано уголовное дело
Звонящий - Для прекращения дела необходимо оплатить штраф 150000 тенге",fraud,government_or_police,call,dialogue,hook,1,1,1,1,1,0,0,0,5
"Оператор - Здравствуйте служба безопасности
Ответчик - Да
Оператор - Обнаружен троян на вашем телефоне
Оператор - Вам необходимо установить AnyDesk
Оператор - Я удаленно очищу устройство и защищу ваши средства",fraud,remote_access,call,dialogue,data_request,0,0,1,0,1,1,1,0,4
Запись к стоматологу 20 мая в 15:30 Напоминаем об оплате,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Ваша карта будет заблокирована Позвоните оператору по номеру 7700,fraud,generic_fraud,sms,single_message,pressure,0,1,1,1,0,0,0,0,3
"Оператор - Здравствуйте это банк
Клиент - Да
Оператор - Ваш счет взломан
Оператор - Снимите наличные и внесите на резервный счет который я назову
Оператор - Это единственный способ сохранить ваши деньги",fraud,safe_account,call,dialogue,transfer_request,0,1,1,1,0,0,0,0,3
Судебное решение о взыскании долга 3000 тенге Оплатите по ссылке до ареста,fraud,government_or_police,call,dialogue,pressure,0,1,1,1,1,0,0,0,4
Ремонт ноутбука завершен Заберите в сервисном центре ул. Абая 10,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Пенсионные отчисления 1000 тенге переведены в ЕНПФ за июнь,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Оплата налога на имущество 20000 тенге принята Квитанция отправлена,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Касса возврата НДС Вы получите 20000 тенге Введите данные для зачисления,fraud,generic_fraud,sms,single_message,hook,1,0,1,1,0,1,0,0,4
Заочное решение о взыскании Отмените оплатив госпошлину Не откладывайте,fraud,delivery_fee,sms,single_message,transfer_request,0,1,1,1,0,0,0,0,3
Тренажерный зал Посещение зафиксировано Остаток визитов 10,normal,benign_service,sms,single_message,benign,0,0,0,0,0,0,0,0,0
Клиника Ваш родственник в реанимации Нужны средства 50000 срочно оплатите,fraud,medical_or_service_fraud,sms,single_message,hook,0,1,0,0,0,0,0,0,1
Подозрительная активность Для защиты счета срочно позвоните по 7778,fraud,generic_fraud,sms,single_message,unknown,0,1,0,0,0,0,0,0,1
